userID,game,action,hours_played,genre,metascore,user_score,score
27403206,Fallout 4,play,23.0,General,84,55,-215.5
71527252,Fallout 4,purchase,1.0,General,84,55,-215.5
71527252,Fallout 4,play,84.0,General,84,55,-215.5
149143479,Fallout 4,purchase,1.0,General,84,55,-215.5
149143479,Fallout 4,play,239.0,General,84,55,-215.5
124059151,Fallout 4,purchase,1.0,General,84,55,-215.5
124059151,Fallout 4,play,64.0,General,84,55,-215.5
62481936,Fallout 4,purchase,1.0,General,84,55,-215.5
62481936,Fallout 4,play,62.0,General,84,55,-215.5
58530556,Fallout 4,purchase,1.0,General,84,55,-215.5
58530556,Fallout 4,play,83.0,General,84,55,-215.5
30246419,Fallout 4,purchase,1.0,General,84,55,-215.5
30246419,Fallout 4,play,97.0,General,84,55,-215.5
80550861,Fallout 4,purchase,1.0,General,84,55,-215.5
80550861,Fallout 4,play,54.0,General,84,55,-215.5
167167647,Fallout 4,purchase,1.0,General,84,55,-215.5
167167647,Fallout 4,play,60.0,General,84,55,-215.5
88525821,Fallout 4,purchase,1.0,General,84,55,-215.5
88525821,Fallout 4,play,23.0,General,84,55,-215.5
301613541,Fallout 4,purchase,1.0,General,84,55,-215.5
301613541,Fallout 4,play,2.0,General,84,55,-215.5
127335438,Fallout 4,purchase,1.0,General,84,55,-215.5
127335438,Fallout 4,play,78.0,General,84,55,-215.5
185258131,Fallout 4,purchase,1.0,General,84,55,-215.5
185258131,Fallout 4,play,172.0,General,84,55,-215.5
190191843,Fallout 4,purchase,1.0,General,84,55,-215.5
190191843,Fallout 4,play,23.0,General,84,55,-215.5
58761868,Fallout 4,purchase,1.0,General,84,55,-215.5
58761868,Fallout 4,play,179.0,General,84,55,-215.5
17530772,Fallout 4,purchase,1.0,General,84,55,-215.5
17530772,Fallout 4,play,67.0,General,84,55,-215.5
156565178,Fallout 4,purchase,1.0,General,84,55,-215.5
156565178,Fallout 4,play,41.0,General,84,55,-215.5
213720494,Fallout 4,purchase,1.0,General,84,55,-215.5
213720494,Fallout 4,play,31.0,General,84,55,-215.5
11940338,Fallout 4,purchase,1.0,General,84,55,-215.5
11940338,Fallout 4,play,39.0,General,84,55,-215.5
83135348,Fallout 4,purchase,1.0,General,84,55,-215.5
83135348,Fallout 4,play,46.0,General,84,55,-215.5
185079540,Fallout 4,purchase,1.0,General,84,55,-215.5
185079540,Fallout 4,play,49.0,General,84,55,-215.5
118852041,Fallout 4,purchase,1.0,General,84,55,-215.5
118852041,Fallout 4,play,10.4,General,84,55,-215.5
16084897,Fallout 4,purchase,1.0,General,84,55,-215.5
16084897,Fallout 4,play,236.0,General,84,55,-215.5
20704366,Fallout 4,purchase,1.0,General,84,55,-215.5
20704366,Fallout 4,play,35.0,General,84,55,-215.5
48798067,Fallout 4,purchase,1.0,General,84,55,-215.5
48798067,Fallout 4,play,44.0,General,84,55,-215.5
36557643,Fallout 4,purchase,1.0,General,84,55,-215.5
36557643,Fallout 4,play,54.0,General,84,55,-215.5
19696244,Fallout 4,purchase,1.0,General,84,55,-215.5
19696244,Fallout 4,play,33.0,General,84,55,-215.5
115167911,Fallout 4,purchase,1.0,General,84,55,-215.5
115167911,Fallout 4,play,114.0,General,84,55,-215.5
199013605,Fallout 4,purchase,1.0,General,84,55,-215.5
199013605,Fallout 4,play,3.3,General,84,55,-215.5
238169854,Fallout 4,purchase,1.0,General,84,55,-215.5
238169854,Fallout 4,play,29.0,General,84,55,-215.5
124725852,Fallout 4,purchase,1.0,General,84,55,-215.5
124725852,Fallout 4,play,134.0,General,84,55,-215.5
10599862,Fallout 4,purchase,1.0,General,84,55,-215.5
10599862,Fallout 4,play,99.0,General,84,55,-215.5
122956129,Fallout 4,purchase,1.0,General,84,55,-215.5
122956129,Fallout 4,play,64.0,General,84,55,-215.5
251635136,Fallout 4,purchase,1.0,General,84,55,-215.5
251635136,Fallout 4,play,26.0,General,84,55,-215.5
167815968,Fallout 4,purchase,1.0,General,84,55,-215.5
167815968,Fallout 4,play,38.0,General,84,55,-215.5
129117376,Fallout 4,purchase,1.0,General,84,55,-215.5
129117376,Fallout 4,play,43.0,General,84,55,-215.5
31187179,Fallout 4,purchase,1.0,General,84,55,-215.5
31187179,Fallout 4,play,13.8,General,84,55,-215.5
294585971,Fallout 4,purchase,1.0,General,84,55,-215.5
294585971,Fallout 4,play,250.0,General,84,55,-215.5
40212239,Fallout 4,purchase,1.0,General,84,55,-215.5
40212239,Fallout 4,play,105.0,General,84,55,-215.5
55755821,Fallout 4,purchase,1.0,General,84,55,-215.5
55755821,Fallout 4,play,7.6,General,84,55,-215.5
8776918,Fallout 4,purchase,1.0,General,84,55,-215.5
8776918,Fallout 4,play,166.0,General,84,55,-215.5
48626533,Fallout 4,purchase,1.0,General,84,55,-215.5
48626533,Fallout 4,play,9.3,General,84,55,-215.5
13190476,Fallout 4,purchase,1.0,General,84,55,-215.5
13190476,Fallout 4,play,629.0,General,84,55,-215.5
137610845,Fallout 4,purchase,1.0,General,84,55,-215.5
137610845,Fallout 4,play,74.0,General,84,55,-215.5
262195804,Fallout 4,purchase,1.0,General,84,55,-215.5
262195804,Fallout 4,play,1.0,General,84,55,-215.5
12144171,Fallout 4,purchase,1.0,General,84,55,-215.5
12144171,Fallout 4,play,4.4,General,84,55,-215.5
65145468,Fallout 4,purchase,1.0,General,84,55,-215.5
65145468,Fallout 4,play,84.0,General,84,55,-215.5
40084096,Fallout 4,purchase,1.0,General,84,55,-215.5
40084096,Fallout 4,play,48.0,General,84,55,-215.5
236496373,Fallout 4,purchase,1.0,General,84,55,-215.5
236496373,Fallout 4,play,67.0,General,84,55,-215.5
188471612,Fallout 4,purchase,1.0,General,84,55,-215.5
188471612,Fallout 4,play,4.4,General,84,55,-215.5
10253354,Fallout 4,purchase,1.0,General,84,55,-215.5
10253354,Fallout 4,play,62.0,General,84,55,-215.5
95037089,Fallout 4,purchase,1.0,General,84,55,-215.5
95037089,Fallout 4,play,50.0,General,84,55,-215.5
32126281,Fallout 4,purchase,1.0,General,84,55,-215.5
32126281,Fallout 4,play,127.0,General,84,55,-215.5
109598076,Fallout 4,purchase,1.0,General,84,55,-215.5
109598076,Fallout 4,play,16.2,General,84,55,-215.5
44545959,Fallout 4,purchase,1.0,General,84,55,-215.5
44545959,Fallout 4,play,54.0,General,84,55,-215.5
101878879,Fallout 4,purchase,1.0,General,84,55,-215.5
14465359,Fallout 4,purchase,1.0,General,84,55,-215.5
14465359,Fallout 4,play,38.0,General,84,55,-215.5
67579257,Fallout 4,purchase,1.0,General,84,55,-215.5
67579257,Fallout 4,play,24.0,General,84,55,-215.5
161816812,Fallout 4,purchase,1.0,General,84,55,-215.5
161816812,Fallout 4,play,23.0,General,84,55,-215.5
44314169,Fallout 4,purchase,1.0,General,84,55,-215.5
44314169,Fallout 4,play,5.1,General,84,55,-215.5
59925638,Fallout 4,purchase,1.0,General,84,55,-215.5
59925638,Fallout 4,play,135.0,General,84,55,-215.5
122094388,Fallout 4,purchase,1.0,General,84,55,-215.5
122094388,Fallout 4,play,14.6,General,84,55,-215.5
38317154,Fallout 4,purchase,1.0,General,84,55,-215.5
38317154,Fallout 4,play,80.0,General,84,55,-215.5
138482130,Fallout 4,purchase,1.0,General,84,55,-215.5
138482130,Fallout 4,play,63.0,General,84,55,-215.5
298178235,Fallout 4,purchase,1.0,General,84,55,-215.5
298178235,Fallout 4,play,54.0,General,84,55,-215.5
105503045,Fallout 4,purchase,1.0,General,84,55,-215.5
105503045,Fallout 4,play,6.7,General,84,55,-215.5
92436417,Fallout 4,purchase,1.0,General,84,55,-215.5
92436417,Fallout 4,play,85.0,General,84,55,-215.5
58289184,Fallout 4,purchase,1.0,General,84,55,-215.5
58289184,Fallout 4,play,99.0,General,84,55,-215.5
135147743,Fallout 4,purchase,1.0,General,84,55,-215.5
135147743,Fallout 4,play,12.9,General,84,55,-215.5
166880158,Fallout 4,purchase,1.0,General,84,55,-215.5
166880158,Fallout 4,play,66.0,General,84,55,-215.5
31669242,Fallout 4,purchase,1.0,General,84,55,-215.5
